x,y,z
108.94554171737384,311.77690739972843,a
98.47345131791081,266.9983524693542,a
166.33896160330062,296.24526559106886,a
122.80239362027396,344.41283121213934,a
142.89097635388347,362.6931736372047,a
169.29299820230406,366.1906855961893,a
137.6668772611862,380.94673518644595,a
183.78730387869456,444.0545884177054,a
197.44229948219578,400.96906846099233,a
203.20696031544153,405.8583475180545,a
148.80315550219052,387.04290130920185,a
149.2245595376728,429.40102844155,a
186.3210489320812,413.3200393197999,a
217.84974668637005,408.1687383894559,a
173.63587703748794,392.66296597346917,a
135.1269825376162,388.97464603301603,a
161.39699415083396,365.6041547426332,a
168.83573845953194,373.6265728491736,a
165.60391153024392,365.86860948884464,a
127.04245828232435,353.24600972755877,a
143.6857436493102,352.24806108303994,a
214.79188865875722,373.021173659426,a
184.07473183030422,413.9487837843176,a
184.0923667545068,425.0666860883929,a
220.5335697389734,413.41395844420197,a
233.38195962387016,350.43477671539074,a
207.10177095806222,416.2726445640136,a
258.4052249060913,448.89792364189753,a
255.29100323878527,384.6609450742993,a
242.47698145045163,356.9631024190532,a
218.70943748026636,330.37169323930243,a
177.89238927293087,309.31348963530934,a
201.44764659163158,403.068027241912,a
114.59427054507974,350.4175897583551,a
124.14208751383192,369.9065788812612,a
125.83252931952504,342.5512879640993,a
187.70694093587804,293.9465451232936,a
184.0000092718389,351.4067922414646,a
202.21040383942847,355.7879901146356,a
287.7393132778831,396.86809875730125,a
289.1570426248374,415.63034209837133,a
278.82973488569183,373.53079651291085,a
253.06811357758747,383.4215849752837,a
246.2021809142984,370.0209416231004,a
209.5834084600082,344.64875087678985,a
153.43701373582027,364.652480092335,a
200.18080139967253,261.65281499761966,a
138.07982990832812,283.94859455679705,a
164.54648189901846,282.6008401444807,a
98.79309854589198,358.6213896412266,a
152.13180642438297,358.53520677719797,a
221.50155518223022,338.8999355754108,a
272.20154706349246,332.36110033258,a
293.71240785721193,341.98250545563656,a
385.58437768991087,375.0692853088396,a
367.1192899781486,395.44731665870574,a
349.24840674290766,381.76858172963495,a
345.713864427176,339.6949261970157,a
294.73682132896585,380.4853351994374,a
276.06191471489655,369.65651163077126,a
257.1558976901856,340.6063327204082,a
290.57400050410797,325.78189671212317,a
215.32693792200547,385.2725613240576,a
244.86238193885617,370.0702641376571,a
330.88476764904385,317.5832172425185,a
260.6798519006078,399.13831859634735,a
305.3619783459824,361.7429950286226,a
315.57928439207626,377.5616405378739,a
303.26295364860056,344.2141465697949,a
333.44035812610986,361.91014454245123,a
374.4969786016749,373.0368704421042,a
364.30566910954997,381.9435046090292,a
329.42301896796175,344.7058676469999,a
317.92104340329354,348.70892273026845,a
267.601577311457,316.80748815065795,a
311.31298796214037,325.34887042960975,a
282.32736991653917,328.0631093791309,a
251.0908365964632,316.02456086687187,a
203.78534388008174,362.63514682936113,a
257.8480266491819,322.76335521309,a
247.9842055082218,373.9643327493584,a
279.18742451623046,365.1909664131355,a
252.81486364483277,337.3805921193456,a
246.16568706760543,344.8199420029357,a
289.2982431498221,357.89266273625094,a
307.37323210387666,327.2270193356695,a
355.71780419916234,319.3545936987092,a
227.05830627000938,384.7351385011358,a
288.6168417221503,360.0467900800839,a
280.37675411479637,337.2734633964675,a
264.6793201809556,276.92458800874874,a
255.0984308704287,290.5787494207751,a
185.41971339530653,205.55417209296309,a
167.00801293061568,247.01511698070723,a
132.21109648792205,254.72045221977763,a
178.68348470806382,239.09087046365505,a
137.86983740269415,223.557258291641,a
134.46388381402699,263.40142223231015,a
150.76129780682186,254.3455932899868,a
200.06471385997887,305.3076412663177,a
230.38179554392985,312.31371269095814,a
243.57606296975484,306.27061976885676,a
276.45435079256947,400.70532896887585,a
252.3510140083325,366.97871805000096,a
289.20288601363313,349.44310245517136,a
300.18982870850544,372.0847983925369,a
287.3777555957689,369.58587752546185,a
265.9453023196843,330.1970290495817,a
207.43016237523253,359.3215339376916,a
200.2489391103325,270.6299656376468,a
187.7830199684122,311.44454219154636,a
147.3570627991584,296.47119881798244,a
113.59132034824131,276.2470711688106,a
117.48312322585201,267.6070030400464,a
141.86564902340334,257.70139446513735,a
232.88486369648584,348.73142783482075,a
256.7987893055787,401.88701784204363,a
290.24410223512325,443.64245180241863,a
380.5997024567334,470.65422676695414,a
335.9496648001108,429.87147661612846,a
318.1731199575856,426.6063721799239,a
332.4477509074322,402.53095106214363,a
370.3076703526416,450.99183190661756,a
403.4456961900678,472.3415789842515,a
363.60831490231453,465.4548785897563,a
459.14819645027507,433.81561743923805,a
433.73536478156194,483.15932120597375,a
415.5575973130177,398.15105268592697,a
444.9846194677442,438.8364077171258,a
